task_id,title,sprint,priority,status,hierarchy_target,entity_id,instructions,blocked_gap_id,created_utc,updated_utc,notes
rq_011,Wallonia L5 discretionary sample,continuous,7,done,L5,wallonie_gov,Extract >=5 named Walloon subsidies/projects with amounts from official budget or press+source. commitments + FOI if opaque.,,2026-07-19T17:30:00Z,2026-07-19T18:30:00Z,AWEX 76m; facultative -8m; structural savings 270.4m; TEC 45m med; APE ~83m med
rq_012,VDAB FOREM Actiris budget totals,continuous,7,done,L2,sec_flanders,Source annual budgets for dual PES agencies; overhead_nodes update; compare unit costs if possible.,gap_forem_budget,2026-07-19T17:30:00Z,2026-07-19T19:00:00Z,Actiris 727/689m strong; VDAB ~790m med + savings path strong; FOREM unknown FOI
rq_013,Company car tax expenditure deep dive,continuous,8,done,taxex,fod_finance,Find company-car / mobility BIK lines in FPS inventory or other official source; leaderboard if material.,,2026-07-19T17:30:00Z,2026-07-19T18:00:00Z,EUR 2.3bn 2024 Tax Foundation/EU-linked; FPS xlsx lacks full package line; lb_company_cars seeded
rq_014,Complete FOI draft gap_vl_gelijke_kansen to ready,continuous,7,done,FOI,vlaanderen_gov,Finish letter with openbaarheid@vlaanderen.be; set foi_queue ready (do not send).,,2026-07-19T17:30:00Z,2026-07-19T19:30:00Z,ready not sent
rq_015,Cheque economy tax expenditure inventory,continuous,9,done,taxex,fod_finance,Map eco-cheques meal vouchers other cheques: FPS TE lines + SSC treatment; euro totals; leaderboard update.,gap_cheque_te,2026-07-19T19:30:00Z,2026-07-19T20:00:00Z,Market vol ~3bn med; rules strong; official TE FOI ready
rq_016,Unemployment payment channel unit costs,continuous,9,done,L5,sec_ss,ONEM/RVA or Rekenhof: cost per claim by union fund vs Hulpkas; public grants to payment organisms.,gap_unemp_pay_unit_cost,2026-07-19T19:30:00Z,2026-07-19T20:30:00Z,Hulpkas admin 6.084m 2025 strong; union channel grants/unit cost FOI ready
rq_017,Brussels region total expenditure primary source,continuous,7,done,L1,brussels_gov,Official BCR budget total expend 2025-2026; fill entity_rank #12; close or keep FOI gap_bru.,,2026-07-19T20:30:00Z,2026-07-19T21:00:00Z,SGRBC liq 8.0bn eng 8.9bn Cour des comptes 2026; STIB 1.17bn Actiris prog 648m
rq_018,Finish FOI drafts prio7 to ready (batch),continuous,6,done,FOI,gg_belgium,Complete letters+contacts for gap_bru gap_multi_parliaments gap_wal gap_forem gap_vdab to ready status.,,2026-07-19T20:30:00Z,2026-07-19T21:15:00Z,4 drafts->ready; gap_bru already answered
rq_019,Leaderboard priority_index recompute top 15,continuous,5,done,L5,gg_belgium,Recompute priority_index for all leaderboard rows; sort doc snapshot in loop_log or markdown table.,,2026-07-19T20:30:00Z,2026-07-19T21:30:00Z,See leaderboard_top15.md
rq_020,Oosterweel multi-year total envelope,continuous,7,done,L5,vlaanderen_gov,Find official multi-year total cost/commitment for Oosterweel beyond single BO2026 line; update commitments.,,2026-07-19T21:30:00Z,2026-07-20T00:00:00Z,Total ~7.2bn VRT 2024; BO2026 line 889.859m kept separate
rq_021,FPS inventory meal voucher microdata FOI or secondary,continuous,8,done,taxex,fod_finance,Secondary literature for meal voucher fiscal cost euro bn; update tx_cheques if found.,,2026-07-19T21:30:00Z,2026-07-19T21:45:00Z,Thesis/press 1.4bn fiscal cost medium; FOI still for official
rq_022,Antwerp city L5 subsidy sample,continuous,6,done,L5,city_antwerpen,3+ named Antwerp subsidies with amounts; parallel Gent method.,gap_antwerp_subsidies_top20,2026-07-19T21:30:00Z,2026-07-20T00:30:00Z,opex 2.2-2.4bn; invest 400m/yr; Toneelhuis 2.74m; FOI top20 ready
rq_023,Federal toelagenregister + NMBS PSO financing,continuous,8,done,L2,sec_federal,Map BOSA federal transfer register totals; facultative subsidy envelope; NMBS state compensation and multi-year rail savings.,gap_nmbs_annual_toelage,2026-07-20T00:35:00Z,2026-07-20T00:40:00Z,179.916bn transfers 2025; facultative 900m; rail savings 675m 2025-29; NMBS annual toelage still FOI
rq_024,De Lijn Flanders annual subsidy total,continuous,7,done,L2,sec_flanders,Source De Lijn annual Vlaamse toelage/exploitatiedotatie 2024-2026; commitments + compare STIB/TEC.,gap_de_lijn_dotatie,2026-07-20T00:40:00Z,2026-07-20T01:00:00Z,2023 ~1.14bn med; 2025 delta -27.5m strong; e-bus 400m; savings 35.5+45m; FOI full total
