rank,item_id,name,era,level,type,category,cost_min_eur,cost_mid_eur,cost_max_eur,cost_basis,cost_score,absurdity_score,waste_purity,waste_priority,confidence,pain_tax_fte,pain_net_years,pain_eur_per_employee,pain_work_minutes,sources_brief,one_liner,notes
11,hw_duplicate_it_portals,Duplicate digital portals across governments (cluster),2000s–2020s,multi,procurement,it_failure,500000000,1500000000,4000000000,Same citizen service rebuilt N times; multi-year speculative — Weak,9.5,8.0,8.0,8.68,weak,77319.6,50847.5,309.28,634.34,DOGE seed board; BOSA digital notes,"My e-box, your e-box, their e-box — federalism as UX debt.",Shared platforms are the cut proposal.
12,hw_i_police,i-Police federal police digitalisation failure,2019–2026,federal,procurement,it_failure,76000000,150000000,300000000,Documented invoices ~€76m class; some press argue hundreds of millions total programme; litigation ongoing,7.5,9.5,9.5,8.60,strong,7732.0,5084.7,30.93,63.43,Brussels Times 2026; VRT/Nieuwsblad 2026; Tweakers; police claim vs Sopra Steria,€76m+ for a police IT system that never truly worked — then lawyers.,Strong on invoiced floor; upper bound disputed.
13,hw_company_cars_decade,Company-car tax expenditure package (10y class),2015–2025,federal,tax_expenditure,structural_fiscal,25000000000,35000000000,50000000000,FFS ~€3.1–5.2bn/yr package class × ~10y illustrative; congestion + wage distortion externalities extra,9.5,8.5,7.0,8.57,strong,1804123.7,1186440.7,7216.49,14801.25,FPS FFS inventories; FPB company-car notes; DOGE lb_company_cars*,"A fringe benefit that rewrote Belgian mobility, congestion and the wage bill — for decades.",Reform path exists (cash-out / equalise BIK); political difficulty high.
14,hw_dexia_belfius_path,Dexia dismantling + Belfius nationalisation path,2008–2012,federal,bailout,financial_crisis,4000000000,7000000000,12000000000,BE share of multi-country Dexia rescues + €4bn Belfius purchase + residual holding losses class; FR/LU shares excluded,9.5,8.5,7.0,8.57,medium,360824.7,237288.1,1443.30,2960.25,EC Dexia decisions; federal buy of Dexia Bank Belgium 2011,Municipal lender + French expansion = Belgian taxpayers holding the bag.,Belfius later profitable for the state — net depends on exit valuation.
15,hw_wtc_north_quarter,Brussels North Quarter / WTC towers — unfinished urban plan,1960s–1990s,Brussels,infrastructure,urban_dev,500000000,1500000000,3000000000,"Manhattanisation of popular neighbourhood; 8 towers planned, 3 WTC + later towers; social cost huge, public € mix private — Weak",9.5,8.5,7.0,8.57,weak,77319.6,50847.5,309.28,634.34,Defossé; RTBF JTI quartier Nord,Bulldoze a neighbourhood for eight towers — deliver three and a windswept esplanade.,Mix of public planning failure and private capital.
16,hw_party_media_transfers,Party / political-group / media-adjacent public transfers opacity,1990s–2020s,multi,transfer,politics,500000000,1500000000,3000000000,"Fragmented (dotations, media, foundations); multi-year opacity — Weak",9.5,8.5,7.0,8.57,weak,77319.6,50847.5,309.28,634.34,Parliament dotation rules; media subsidy debates,Democracy needs parties; blank-cheque opacity does not.,Transparency reform > abolish politics.
17,hw_kerosene_decade,International aviation kerosene excise exemption (10y),2015–2025,federal,tax_expenditure,structural_fiscal,5000000000,7000000000,9000000000,FFS ~€0.7bn/yr rising × 10y; Chicago Convention lock-in,9.5,8.0,7.5,8.55,strong,360824.7,237288.1,1443.30,2960.25,FPS FFS kerosene tables; DOGE lb_ffs_kerosene_air,Fly tax-free fuel while trains pay full freight — 1940s law meets 2020s climate.,EU coordination required; BE alone limited.
18,hw_fyra_v250,Fyra / V250 high-speed train fiasco (BE share of write-downs),2000s–2010s,federal,procurement,rail_rolling_stock,100000000,250000000,500000000,AnsaldoBreda V250 failure NL+BE; NMBS write-downs + replacement paths; BE share uncertain vs NS,7.5,9.5,9.0,8.47,weak,12886.6,8474.6,51.55,105.72,NMBS/NS Fyra parliamentary inquiries; press write-off series,High-speed trains that could not handle winter — write-offs at TGV prices.,NL cost larger; BE still ate real cash and delay.
19,hw_exc_heatoil_decade,Heating gasoil excise preference (multi-year FFS),2015–2025,federal,tax_expenditure,structural_fiscal,12000000000,18000000000,22000000000,~€1.8bn/yr 2024 class × ~10y; not progressive,9.5,8.0,7.0,8.43,strong,927835.1,610169.5,3711.34,7612.07,FPS FFS; DOGE lb_exc_heatoil,Cheap heating oil by design while climate policy points the other way.,Social heating need real; instrument is blunt.
20,hw_gsc_vl_decade,Flanders green electricity certificates (GSC) support path,2005–2025,Flanders,subsidy,energy_policy,8000000000,12000000000,18000000000,Recent ~€0.8–1.1bn/yr class; multi-year PV boom overcompensation + residual certificates; lifetime higher,9.5,8.0,7.0,8.43,medium,618556.7,406779.7,2474.23,5074.71,VREG/VEA series; DOGE lb_vl_gsc_support; Court of Audit PV notes,Early PV boom locked in rich certificates; households paid via bills for decades.,Steelman: learning-curve renewables; waste is overcompensation design.
21,hw_gen_rer_bru,Brussels RER/GEN suburban rail — decades of delay & partial delivery,1990s–2020s,federal+Brussels+regions,infrastructure,transport_capex,2000000000,5000000000,10000000000,Multi-decade programme; full original plan never delivered on time/budget; sunk + remaining envelope uncertain — Medium/Weak on total,9.5,8.0,7.0,8.43,weak,257732.0,169491.5,1030.93,2114.46,NMBS/Infrabel RER dossiers; Court of Audit historical notes,The suburban rail everyone promised for a generation — still waiting at many platforms.,Partial works useful; waste is delay + rework + political fragmentation.
22,hw_social_housing_vacancy,Social housing vacancy & renovation backlog costs,2000s–2020s,multi,ops,housing,1000000000,3000000000,8000000000,Vacant units + delayed reno while waiting lists grow; multi-year opportunity — Weak,9.5,8.0,7.0,8.43,weak,154639.2,101694.9,618.56,1268.68,Regional housing companies reports; press vacancy series,"People on lists, empty flats in the stock — allocation failure as fiscal waste.",Human cost primary.
23,hw_cabinet_culture,Ministerial cabinets culture — oversized political staff (multi-year),1990s–2020s,multi,admin,institutions,1000000000,3000000000,6000000000,Cabinets vs administration dual staff; multi-year speculative — Weak,9.5,8.0,7.0,8.43,weak,154639.2,101694.9,618.56,1268.68,DOGE seed board; governance literature BE,A shadow civil service that leaves when the minister does — institutional amnesia included.,Cap cabinets is a classic reform.
24,hw_temporary_unemp_fraud,Temporary unemployment / crisis unemployment fraud & overuse,2020–2022,federal,transfer,labour_market,500000000,2000000000,5000000000,Subset of COVID labour support; fraud rates debated — Weak,9.5,8.0,7.0,8.43,weak,103092.8,67796.6,412.37,845.79,ONEM/RVA audits; press fraud series,Furlough that became a lifestyle for some — detection lagged cash.,Most use legitimate; fraud tail is waste.
25,hw_sabena_collapse,Sabena bankruptcy — public shareholding losses + social fallout,1990s–2001,federal,soe_failure,transport_soe,500000000,1500000000,3000000000,State airline collapse; public capital loss + unemployment support; Swissair litigation recovered little — Medium/Weak,9.5,8.0,7.0,8.43,weak,77319.6,50847.5,309.28,634.34,Federal Planning Bureau Sabena eval; Wikipedia Sabena faillissement,"National flag carrier to Europe’s biggest corporate failure — 7,500 jobs later.",Global aviation shock + governance; not pure theft.
26,hw_excess_profit_rulings,Excess profit tax rulings (EU state-aid recovery saga),2005–2020s,federal,tax_ruling,corporate_tax,500000000,1000000000,2000000000,EU state-aid cases; recovered amounts vs originally foregone tax contested — Medium/Weak,9.5,8.0,7.0,8.43,weak,51546.4,33898.3,206.19,422.89,EC state-aid decisions on BE excess profit rulings,Bespoke tax math for multinationals — until Brussels said no.,Legal war years; fiscal opportunity cost real.
27,hw_bru_metro_ghosts,"Brussels metro ghost stations / unused levels (Sainctelette, Louise −3, etc.)",1970s–1990s,Brussels,infrastructure,ghost_infra,50000000,200000000,500000000,Multiple unused shells; no single official consolidated bill; Defossé/RTBF JTI documentation — Weak €,7.5,9.0,9.0,8.32,weak,10309.3,6779.7,41.24,84.58,fr.wiki GTI; Defossé; RTBF Journal des Travaux Inutiles,Stations built for lines that never came — Belgium’s most photogenic fiscal ghosts.,Iconic absurdity > precise euro; cultural hall-of-fame entry.
28,hw_interco_dividends,Intercommunale dividend politics (energy/water) — soft capture,1990s–2020s,local,soe_governance,local_capture,2000000000,5000000000,10000000000,Dividends fund local politics; opportunity cost of inefficient utility governance speculative multi-year — Weak,9.5,8.0,6.5,8.30,weak,257732.0,169491.5,1030.93,2114.46,Publifin inquiry legacy; CREG/utility reports,Your water bill elects a board you never heard of.,Structural local-capture pattern.
29,hw_empty_public_estate,Empty / underused public building stock (multi-year opportunity cost),2000s–2020s,multi,asset_waste,assets,1000000000,5000000000,15000000000,No single register; opportunity cost of idle capital speculative — Weak,9.5,7.5,7.0,8.28,weak,257732.0,169491.5,1030.93,2114.46,Court of Audit building stock notes; regional inventories partial,Public walls with no people — capital depreciation as quiet waste.,Needs FOI/register campaign.
30,hw_training_vouchers,Training vouchers / activation with weak job placement (cluster),2000s–2020s,multi,subsidy,labour_market,2000000000,5000000000,10000000000,Attendance ≠ employment; multi-year cluster Medium/Weak,9.5,7.5,7.0,8.28,weak,257732.0,169491.5,1030.93,2114.46,PES evaluations; Rekenhof training notes,Certificates of attendance sold as labour-market miracles.,Pay for placement outcomes.
31,hw_antwerp_premetro_ghost,Antwerp premetro unused tunnels & stations (50y ghost class),1970s–2020s,Flanders,infrastructure,ghost_infra,200000000,600000000,1500000000,km of tunnel + stations idle decades; original build cost era-francs hard to rebase; reactivation now spending extra — Weak on original €,7.5,9.0,8.5,8.20,weak,30927.8,20339.0,123.71,253.74,Premetro history; Pegasus plan; Group A reactivation 2025–27 notes,Underground trams that waited half a century for passengers — and more money to finish.,Some tunnels finally activating; capital sat idle for a generation.
32,hw_awareness_campaigns,Awareness campaigns with no behaviour-change evidence (cluster),2000s–2020s,multi,opex,vanity_project,200000000,600000000,1500000000,Death by a thousand posters; multi-year cluster speculative — Weak,7.5,9.0,8.5,8.20,weak,30927.8,20339.0,123.71,253.74,DOGE seed board; various CoA notes,"Poster politics: if you can’t measure it, bill it to communications.",High absurdity density.
33,hw_justitie_it_cluster,Justice IT mega-projects cluster (Phoenix/Cheops and successors),2000s–2020s,federal,procurement,it_failure,100000000,400000000,1000000000,Decades of justice digitalisation failures; fragmented public totals — Medium/Weak,7.5,9.0,8.5,8.20,weak,20618.6,13559.3,82.47,169.16,Rekenhof justice IT reports; parliamentary history,Courts still drowning in paper after successive ‘once-and-for-all’ IT reboots.,Human cost (case delay) larger than cash alone.
34,hw_publifin_nethys,Publifin / Nethys / Enodia intercommunale capture scandals,2010s,Wallonia,governance_scandal,local_capture,50000000,200000000,500000000,"Director fees, opacity, political capture; direct cash vs opportunity cost hard to separate — Weak mid",7.5,9.0,8.5,8.20,weak,10309.3,6779.7,41.24,84.58,Parliamentary inquiries; press Publifin/Nethys,Intercommunales as political ATM — energy dividends and director seats.,Governance failure > single project invoice.
35,hw_early_exit_pensions,Early labour-market exit & special pension schemes (multi-year),1980s–2020s,federal,entitlement,structural_fiscal,30000000000,60000000000,100000000000,Structural early-exit culture cost; multi-decade fiscal — Medium/Weak on pure ‘waste’ vs social choice,9.5,8.0,6.0,8.18,weak,3092783.5,2033898.3,12371.13,25373.57,NBB/FPB pension notes; OECD ageing BE,"Retire early, bill the next cohort — special schemes as political glue.","Reform path: close schemes, automatic adjusters."
36,hw_dual_federalism_overhead,"Institutional dualism overhead (multi-parliaments, dual PSB, dual PES, dual justice language)",1990s–2020s,multi,overhead-federalism,institutions,20000000000,40000000000,80000000000,Highly speculative multi-year opportunity cost of permanent dual structures; dual PSB alone ~€0.65bn/yr ordinary; full dualism larger,9.5,8.0,6.0,8.18,weak,2061855.7,1355932.2,8247.42,16915.71,DOGE lb_dual_psb; institutional cost studies (order-of-magnitude),Two of everything that speaks a language — democracy has a price tag that is never on one budget line.,Not a call to abolish communities; score is about unmeasured overhead.
37,hw_bank_bailouts_2008_12,Banking crisis public capital injections (Fortis/Dexia/KBC/Ethias stack),2008–2012,federal+regions,bailout,financial_crisis,15000000000,22000000000,35000000000,Order-of-magnitude BE public capital: Fortis ~€9.4bn path; Dexia BE capital + Belfius €4bn buy; KBC fed+VL ~€7.5bn class; Ethias; guarantees separate contingent,9.5,8.0,6.0,8.18,medium,1134020.6,745762.7,4536.08,9303.64,Wikipedia 2008–09 BE financial crisis; Social Watch bank rescue note; EC state-aid decisions,Too-big-to-fail became a taxpayer balance-sheet event — twice for Dexia.,Net fiscal cost after recoveries/dividends lower than gross injections; guarantees were huge contingent.
38,hw_facultative_subsidies,Federal facultative discretionary subsidies opacity (multi-year),2015–2025,federal,subsidy,structural_fiscal,5000000000,9000000000,12000000000,~€0.9bn/yr envelope × 10y; many justified — opacity is the DOGE issue,9.5,8.0,6.0,8.18,strong,463917.5,305084.7,1855.67,3806.04,BOSA toelagenregister; DOGE lb_fed_facultative_subsidies,Ministers’ discretionary chequebook — public money without a public shopping list.,Cut path exists (−200m narratives); L5 still weak.
39,hw_nuclear_phaseout_policy,Nuclear phase-out / extension stop-start policy costs,2003–2020s,federal,energy_policy,energy_policy,2000000000,8000000000,20000000000,"Policy volatility: provisions, Engie negotiations, capacity mechanisms, import dependency — highly contested range",9.5,8.0,6.0,8.18,weak,412371.1,271186.4,1649.48,3383.14,CREG; FPS Economy; Engie agreements; FPB energy notes,"Vote to close reactors, then pay to keep them — energy policy as ping-pong.",Climate/security trade-offs real; process waste huge.
40,hw_dioxin_crisis,"1999 dioxin crisis — farm slaughter, export ban, political collapse",1999,federal,crisis_cost,food_safety,500000000,1500000000,3000000000,"Compensation, destroyed livestock, export losses, government fall — range includes private losses; public share Medium",9.5,8.0,6.0,8.18,weak,77319.6,50847.5,309.28,634.34,Wikipedia Dioxine crisis; OECD/agri estimates historical,"Contaminated feed, empty shelves, a government that fell — food safety as systemic failure.",Not a vanity project; regulatory failure costs.
41,hw_neo_heysel,NEO / Heizel redevelopment delays & redesigns,2010s–2020s,Brussels,infrastructure,urban_dev,500000000,1500000000,3000000000,Ambition multi-bn urban project; repeated redesign; sunk studies + partial works — Weak mid,9.5,7.5,6.5,8.15,weak,77319.6,50847.5,309.28,634.34,Brussels regional dossiers; press NEO Heizel,Expo site dreams that keep reinventing the masterplan.,Some public value possible; process waste high.
42,hw_agusta_scandal,Agusta / Dassault helicopter & aircraft kickback scandal,1980s–1990s,federal,procurement_corruption,defence,50000000,200000000,500000000,Defence procurement corruption; political careers ended; pure cash vs counterfactual aircraft unclear,7.5,9.0,8.0,8.07,weak,10309.3,6779.7,41.24,84.58,Agusta scandal history; court records summaries,Helicopters with a side order of party financing — NATO ally meets Italian envelopes.,Corruption premium hard to €-isolate.
43,hw_nid_notioneel,Notional interest deduction (NID) multi-year deadweight class,2006–2018+,federal,tax_expenditure,corporate_tax,15000000000,30000000000,50000000000,NID was multi-bn/yr at peak; multi-year sum highly uncertain after reforms; deadweight vs HQ attraction contested,9.5,7.5,6.0,8.03,weak,1546391.8,1016949.2,6185.57,12686.79,FPS taxex historical; academic literature on NID; EU state-aid scrutiny,Paper equity interest deduction that became a European tax-planning magnet.,Confidence weak on pure deadweight €; keep ranges wide.
44,hw_vdab_forem_dual,Triple PES architecture (VDAB/FOREM/Actiris + federal layer),1980s–2020s,multi,overhead-federalism,institutions,5000000000,10000000000,20000000000,Speculative multi-year dual/triple employment-service overhead vs single counterfactual — Weak,9.5,7.5,6.0,8.03,weak,515463.9,338983.1,2061.86,4228.93,Regional PES budgets; institutional analyses,Three public employment services and still the activation maze.,Language/federalism constraint; still cost.
45,hw_thuin_internat,Thuin Athénée boarding school complex offset by 1.5 m,1970s–1980s,FWB,infrastructure,buildings,5000000,15000000,40000000,Built off-grid by 1.5 m; unfinished; FWB left holding shell — Weak €,5.5,10.0,10.0,7.97,weak,773.2,508.5,3.09,6.34,RTBF JTI Thuin 2011,Offset the building by a metre and a half — then ran out of money to connect anything.,Comedy-grade purity 10.
46,hw_permit_denseness,Professional order / permit denseness entry barriers (deadweight),post-war–2020s,multi,regulation,institutions,5000000000,20000000000,50000000000,OECD product-market regulation deadweight speculative multi-year — Weak,9.5,7.0,6.0,7.88,weak,1030927.8,677966.1,4123.71,8457.86,OECD PMR; EU services directive BE implementation,"Need a stamp to compete — insiders smile, prices rise.",Indirect waste; sunrise reviews.
47,hw_plan_oxygene,Plan Oxygène Walloon municipal debt oxygen (borrowing for opex risk),2020s,Wallonia,ops,local_finance,500000000,1500000000,2000000000,Tranches hundreds of m€; requests toward ~€1.8bn class; structural opex risk,9.5,7.0,6.0,7.88,medium,77319.6,50847.5,309.28,634.34,DOGE lb_plan_oxygene_envelope; PW docs,Oxygen for commune cashflow — risk of permanent life support.,Stabilisation steelman; cliff 2027 risk.
48,hw_liege_tram,Liège tramway — cost overrun + availability payments,2010s–2020s,Wallonia,infrastructure,transport_capex,800000000,1200000000,1500000000,Original ~€558m class → higher with WAL top-ups; media ~€1.4bn incl. extensions; PPP availability ~€32m/yr to 2052,9.5,7.0,6.0,7.88,medium,61855.7,40678.0,247.42,507.47,Railway Gazette 2024; EIB/DIF notes; local press,A modern tram bought with PPP premiums after classic Belgian cost shock.,Tram may still beat buses long-run; waste is contract design + overrun.
49,hw_bpost_press,bpost press distribution concession (multi-year before 2027 end),2000s–2020s,federal,subsidy,media_postal,800000000,1500000000,2500000000,~€125m/yr class multi-year; ending 2027 rare cut path,9.5,6.5,6.0,7.73,strong,77319.6,50847.5,309.28,634.34,NBB; government phase-out; DOGE lb_bpost_press_concession,Paying a postal monopoly to deliver newspapers — until finally not.,Rare sunset; still multi-year cash burned.
50,hw_liege_metro_tunnel,Liège unused metro tunnel (La Batte / Saint-Léonard),1970s–1980s,Wallonia,infrastructure,ghost_infra,20000000,80000000,200000000,1970s tunnel for a metro that never opened; storage use later; era cost rebased poorly,5.5,9.5,9.5,7.70,weak,4123.7,2711.9,16.49,33.83,Defossé; RTBF JTI Liège metro 1986,A prototype metro car in a tunnel to nowhere — Walloon futurism paused forever.,Classic GTI; small vs banks but perfect purity.
51,hw_etterbeek_hospital,"Etterbeek hospital — built 1982, closed after months",1980s,Brussels,infrastructure,buildings,30000000,80000000,150000000,New hospital fused away almost immediately — Weak rebased €,5.5,9.5,9.5,7.70,weak,4123.7,2711.9,16.49,33.83,Defossé; RTBF JTI,"Opened the champagne, then the merger memo — hospital-shaped waste.",Extreme purity classic.
52,hw_rayon_soleil,Hôpital Rayon de Soleil (Montigny) — empty decades + fraud affair,1980s–2010s,Wallonia,infrastructure,buildings,20000000,60000000,120000000,"35,000 m² empty ~26y; fraud dimension — Weak €",5.5,9.5,9.5,7.70,weak,3092.8,2033.9,12.37,25.37,Defossé; RTBF JTI,A hospital shell and a crime file — public money and private capture.,Scandal + GTI hybrid.
53,hw_varsenare_bridges,Varsenare ghost motorway bridges (demolished 2012),1970s–2010s,Flanders,infrastructure,ghost_infra,5000000,15000000,40000000,Two bridges for Calais–Zeebrugge motorway never built; demolished — Weak €,5.5,9.5,9.5,7.70,weak,773.2,508.5,3.09,6.34,Defossé; Focus WTV demolition,Bridges over a railway to a highway that never arrived — then dynamite.,"Perfect absurdity, modest cash."
54,hw_strepy_dead_end_road,Strépy dead-end four-lane road to a field,1970s,Wallonia,infrastructure,ghost_infra,3000000,12000000,30000000,Next to famous boat lift — irony included free — Weak €,5.5,9.5,9.5,7.70,weak,618.6,406.8,2.47,5.07,Hidden Monuments,Next to a world-famous boat lift: a highway to a cabbage field.,Pure GTI.
55,hw_justice_palais_bru,Brussels Palace of Justice — endless renovation / scaffolding culture,1980s–2020s,federal,infrastructure,buildings,200000000,600000000,1500000000,Multi-decade scaffolding meme; cumulative reno bills fragmented — Weak,7.5,8.5,7.0,7.67,weak,30927.8,20339.0,123.71,253.74,Federal buildings; press palais justice scaffolding,"Europe’s largest law courts, permanently under tarpaulin.",Heritage + bureaucracy; still a fiscal drip.
56,hw_kortrijk_r8,Kortrijk R8 ring incomplete for 50+ years,1970s–2020s,Flanders,infrastructure,ghost_infra,50000000,150000000,400000000,Half-ring for decades; completion drip — Weak total historical,7.5,8.0,7.5,7.65,weak,7732.0,5084.7,30.93,63.43,Hidden Monuments dead-end viaduct; AWV history,A ring road that never quite ringed — 50 years of temporary forever.,Partial utility; completion still political.
57,hw_ffs_fossil_decade,Federal fossil-fuel subsidy inventory (10y class),2015–2025,federal,tax_expenditure,structural_fiscal,70000000000,100000000000,130000000000,FFS direct ~€10.8bn (2024) × ~10y illustrative; path varies; broad definition contested,9.5,7.0,5.0,7.62,medium,5154639.2,3389830.5,20618.56,42289.29,FPS 5th FFS inventory 2026; DOGE lb_ffs_direct_total,"Cheap fossil by tax design, then climate targets by other instruments — policy schizophrenia at scale.",Not all FFS lines are pure waste; many are price-support for heating/industry.
58,hw_eiwt_decade,EIWT partial remittance bedrijfsvoorheffing package (10y class),2015–2025,federal,tax_expenditure,structural_fiscal,30000000000,40000000000,50000000000,~€4.4bn/yr 2024 package × ~10y; night/shift/R&D clusters,9.5,7.0,5.0,7.62,strong,2061855.7,1355932.2,8247.42,16915.71,FPS taxex inventory; DOGE lb_eiwt_package,Night-shift and R&D wage tax discounts at multi-billion scale — additionality rarely proven at that scale.,Prefer base-rate reform over perpetual patchwork.
59,hw_provincial_layer,Provincial government layer ongoing cost (relevance debate),1830–2020s,multi,ops,institutions,10000000000,20000000000,40000000000,VL+WAL provinces multi-bn/yr combined opex/invest; pure waste = redundant share only — Weak,9.5,7.0,5.0,7.62,weak,1030927.8,677966.1,4123.71,8457.86,DOGE provincial snapshots 2026,A middle layer of government looking for a job description since 1830.,Some provincial services real; dual with communes/regions is the issue.
60,hw_covid_untargeted,COVID support packages — fraud + untargeted share,2020–2022,multi,crisis_fiscal,crisis_fiscal,5000000000,15000000000,30000000000,Total COVID fiscal multi-tens of bn; waste = fraud + clearly untargeted — Medium/Weak split,9.5,7.0,5.0,7.62,weak,773195.9,508474.6,3092.78,6343.39,NBB COVID fiscal; Court of Audit COVID support audits,Emergency money that sometimes found the wrong pockets and the wrong firms.,Speed steelman; design waste real.
61,hw_oosterweel,Oosterweelverbinding (Antwerp ring completion) — cost explosion path,2000s–2030s,Flanders,infrastructure,transport_capex,7000000000,12000000000,14000000000,Path ~€7bn → ~€10bn construction → ~€13.6bn financial-model class (2026 Rekenhof/press); pure ‘waste’ = overrun + financing risk not full mobility benefit,9.5,7.0,5.0,7.62,medium,618556.7,406779.7,2474.23,5074.71,VRT/Rekenhof 2026 Oosterweel financing; Lantis model notes,Necessary tunnel politics meets a bill that keeps climbing toward the grandchildren.,"Steelman: closes ring, cuts urban traffic. Waste claim is governance of cost/toll, not asphalt itself."
62,hw_energy_crisis_blanket,2021–23 energy-crisis blanket support (poor targeting share),2021–2023,federal+regions,subsidy,crisis_fiscal,5000000000,12000000000,20000000000,Total energy support packages multi-bn; pure waste = non-targeted share only — Medium/Weak split,9.5,7.0,5.0,7.62,weak,618556.7,406779.7,2474.23,5074.71,NBB/FPB crisis support tallies; FPS,Price shock real; writing cheques to everyone is the lazy instrument.,Steelman: social peace; waste is untargeted design.
63,hw_samusocial,Samusocial Brussels mismanagement scandal,2010s,Brussels,governance_scandal,local_capture,5000000,20000000,50000000,"Housing/allowance scandal for directors while serving homeless — cash small, trust cost huge",5.5,9.5,9.0,7.58,medium,1030.9,678.0,4.12,8.46,Press/court Samusocial; regional follow-up,A homeless charity with luxury housing for the wrong people.,Moral absurdity off the charts.
